log c,log j,E vs. RHE,pH,E_SHE,phi0,phi_rp,c,species
-0.4575,-3.988,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.9545426832988565,0.34873858413521835,Na
-0.4575,-3.70691,-0.5,13,-1.267,-1.777,-0.9816091656237946,0.34873858413521835,Na
-0.4575,-3.41631,-0.55,13,-1.317,-1.827,-1.0086856435792884,0.34873858413521835,Na
-0.4575,-3.09006,-0.6,13,-1.367,-1.877,-1.0357716861214148,0.34873858413521835,Na
-0.223,-4.08323,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.9480442101816315,0.5984115950603197,Na
-0.223,-3.85783,-0.5,13,-1.267,-1.777,-0.9751116127004996,0.5984115950603197,Na
-0.223,-3.5929,-0.55,13,-1.317,-1.827,-1.002188980654298,0.5984115950603197,Na
-0.223,-3.27532,-0.6,13,-1.367,-1.877,-1.0292758843302967,0.5984115950603197,Na
-2.2166,-4.86362,-0.5,11,-1.149,-1.659,-0.813407214455249,0.006072954118270236,K
-2.2166,-4.65151,-0.55,11,-1.199,-1.709,-0.8354659508445678,0.006072954118270236,K
-2.2166,-4.45644,-0.6,11,-1.249,-1.7590000000000001,-0.8575405754333869,0.006072954118270236,K
-2.2166,-4.33621,-0.65,11,-1.299,-1.809,-0.8796297577255482,0.006072954118270236,K
-1.58253,-4.3969,-0.5,11,-1.149,-1.659,-0.7924507530108233,0.02614989804802583,K
-1.58253,-4.19443,-0.55,11,-1.199,-1.709,-0.8145216838903776,0.02614989804802583,K
-1.58253,-3.99831,-0.6,11,-1.249,-1.7590000000000001,-0.8366078689908397,0.02614989804802583,K
-1.58253,-3.84805,-0.65,11,-1.299,-1.809,-0.8587080435246257,0.02614989804802583,K
-1.29536,-4.19869,-0.5,11,-1.149,-1.659,-0.7829543197527462,0.05065706222808556,K
-1.29536,-3.9924,-0.55,11,-1.199,-1.709,-0.8050304530871122,0.05065706222808556,K
-1.29536,-3.73145,-0.6,11,-1.249,-1.7590000000000001,-0.8271215735940273,0.05065706222808556,K
-1.29536,-3.57566,-0.65,11,-1.299,-1.809,-0.8492264439818754,0.05065706222808556,K
-0.99562,-3.93776,-0.5,11,-1.149,-1.659,-0.77302994995835,0.10101363509756159,K
-0.99562,-3.72522,-0.55,11,-1.199,-1.709,-0.7951111696301032,0.10101363509756159,K
-0.99562,-3.508,-0.6,11,-1.249,-1.7590000000000001,-0.8172071174343155,0.10101363509756159,K
-0.99562,-3.36623,-0.65,11,-1.299,-1.809,-0.8393165826357294,0.10101363509756159,K
-0.97972,-0.47149,-0.5,13,-1.267,-1.777,-0.8246385055409042,0.10478038744508703,K
-0.97972,-0.13775,-0.55,13,-1.317,-1.827,-0.846754507150571,0.10478038744508703,K
-0.97972,0.18747,-0.6,13,-1.367,-1.877,-0.8688833668736516,0.10478038744508703,K
-0.97972,0.39251,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.8910244983888845,0.10478038744508703,K
-0.90352,-0.71912,-0.5,13,-1.267,-1.777,-0.822114214273065,0.12487629356078084,K
-0.90352,-0.32533,-0.55,13,-1.317,-1.827,-0.8442312812852473,0.12487629356078084,K
-0.90352,0.0476,-0.6,13,-1.367,-1.877,-0.8663611559037856,0.12487629356078084,K
-0.90352,0.26644,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.8885032551607945,0.12487629356078084,K
-0.82495,-0.76799,-0.5,13,-1.267,-1.777,-0.8195088934103666,0.14964079265067917,K
-0.82495,-0.48135,-0.55,13,-1.317,-1.827,-0.841627020227799,0.14964079265067917,K
-0.82495,-0.13097,-0.6,13,-1.367,-1.877,-0.8637579045116206,0.14964079265067917,K
-0.82495,0.08309,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.8859009666228809,0.14964079265067917,K
-0.69913,-1.15278,-0.5,13,-1.267,-1.777,-0.8153298910195741,0.19992633284429162,K
-0.69913,-0.79458,-0.55,13,-1.317,-1.827,-0.8374496173389993,0.19992633284429162,K
-0.69913,-0.46166,-0.6,13,-1.367,-1.877,-0.8595820256584116,0.19992633284429162,K
-0.69913,-0.19068,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.8817265413494868,0.19992633284429162,K
