,log c,log j,E vs. RHE
0,-2.22001,-4.5511,-0.5
1,-2.22001,-4.38205,-0.55
2,-2.22001,-4.16466,-0.6
3,-2.22001,-3.94801,-0.65
4,-1.29151,-4.2705,-0.5
5,-1.29151,-4.10161,-0.55
6,-1.29151,-3.88773,-0.6
7,-1.29151,-3.64936,-0.65
8,-0.52198,-4.17626,-0.5
9,-0.52198,-3.998,-0.55
10,-0.52198,-3.70029,-0.6
11,-0.52198,-3.3986,-0.65
12,-0.00173,-4.02731,-0.5
13,-0.00173,-3.79399,-0.55
14,-0.00173,-3.51858,-0.6
15,-0.00173,-3.22686,-0.65
