log c,log j,E vs. RHE,pH,E_SHE,phi0,phi_rp,c,species
    -2.217,    -4.864,    -0.500,11,    -1.149,    -1.659,    -0.813,     0.006,K
    -2.217,    -4.652,    -0.550,11,    -1.199,    -1.709,    -0.835,     0.006,K
    -2.217,    -4.456,    -0.600,11,    -1.249,    -1.759,    -0.858,     0.006,K
    -2.217,    -4.336,    -0.650,11,    -1.299,    -1.809,    -0.880,     0.006,K
    -1.583,    -4.397,    -0.500,11,    -1.149,    -1.659,    -0.792,     0.026,K
    -1.583,    -4.194,    -0.550,11,    -1.199,    -1.709,    -0.815,     0.026,K
    -1.583,    -3.998,    -0.600,11,    -1.249,    -1.759,    -0.837,     0.026,K
    -1.583,    -3.848,    -0.650,11,    -1.299,    -1.809,    -0.859,     0.026,K
    -1.295,    -4.199,    -0.500,11,    -1.149,    -1.659,    -0.783,     0.051,K
    -1.295,    -3.992,    -0.550,11,    -1.199,    -1.709,    -0.805,     0.051,K
    -1.295,    -3.731,    -0.600,11,    -1.249,    -1.759,    -0.827,     0.051,K
    -1.295,    -3.576,    -0.650,11,    -1.299,    -1.809,    -0.849,     0.051,K
    -0.996,    -3.938,    -0.500,11,    -1.149,    -1.659,    -0.773,     0.101,K
    -0.996,    -3.725,    -0.550,11,    -1.199,    -1.709,    -0.795,     0.101,K
    -0.996,    -3.508,    -0.600,11,    -1.249,    -1.759,    -0.817,     0.101,K
    -0.996,    -3.366,    -0.650,11,    -1.299,    -1.809,    -0.839,     0.101,K
    -0.980,    -0.471,    -0.500,13,    -1.267,    -1.777,    -0.825,     0.105,K
    -0.980,    -0.138,    -0.550,13,    -1.317,    -1.827,    -0.847,     0.105,K
    -0.980,     0.187,    -0.600,13,    -1.367,    -1.877,    -0.869,     0.105,K
    -0.980,     0.393,    -0.650,13,    -1.417,    -1.927,    -0.891,     0.105,K
    -0.904,    -0.719,    -0.500,13,    -1.267,    -1.777,    -0.822,     0.125,K
    -0.904,    -0.325,    -0.550,13,    -1.317,    -1.827,    -0.844,     0.125,K
    -0.904,     0.048,    -0.600,13,    -1.367,    -1.877,    -0.866,     0.125,K
    -0.904,     0.266,    -0.650,13,    -1.417,    -1.927,    -0.889,     0.125,K
    -0.825,    -0.768,    -0.500,13,    -1.267,    -1.777,    -0.820,     0.150,K
    -0.825,    -0.481,    -0.550,13,    -1.317,    -1.827,    -0.842,     0.150,K
    -0.825,    -0.131,    -0.600,13,    -1.367,    -1.877,    -0.864,     0.150,K
    -0.825,     0.083,    -0.650,13,    -1.417,    -1.927,    -0.886,     0.150,K
    -0.699,    -1.153,    -0.500,13,    -1.267,    -1.777,    -0.815,     0.200,K
    -0.699,    -0.795,    -0.550,13,    -1.317,    -1.827,    -0.837,     0.200,K
    -0.699,    -0.462,    -0.600,13,    -1.367,    -1.877,    -0.860,     0.200,K
    -0.699,    -0.191,    -0.650,13,    -1.417,    -1.927,    -0.882,     0.200,K
