log c,log j,E vs. RHE,pH,E_SHE,phi0,phi_rp,c,species
-0.825,-3.88039,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.48040669810148273,0.14962356560944334,Na
-0.825,-3.57953,-0.5,13,-1.267,-1.777,-0.4932267386712889,0.14962356560944334,Na
-0.825,-3.28168,-0.55,13,-1.317,-1.827,-0.5060652718990587,0.14962356560944334,Na
-0.825,-2.96772,-0.6,13,-1.367,-1.877,-0.518921442132496,0.14962356560944334,Na
-0.7,-3.91083,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.4748650695878123,0.19952623149688797,Na
-0.7,-3.63706,-0.5,13,-1.267,-1.777,-0.48768766902116467,0.19952623149688797,Na
-0.7,-3.34065,-0.55,13,-1.317,-1.827,-0.5005286465947772,0.19952623149688797,Na
-0.7,-2.97815,-0.6,13,-1.367,-1.877,-0.5133871554419557,0.19952623149688797,Na
-0.223,-4.08323,-0.45,13,-1.2169999999999999,-1.7269999999999999,-0.45347713629649294,0.5984115950603197,Na
-0.223,-3.85783,-0.5,13,-1.267,-1.777,-0.4663079011888184,0.5984115950603197,Na
-0.223,-3.5929,-0.55,13,-1.317,-1.827,-0.4791567307870889,0.5984115950603197,Na
-0.223,-3.27532,-0.6,13,-1.367,-1.877,-0.4920228049848928,0.5984115950603197,Na
-2.2166,-4.86362,-0.5,11,-1.149,-1.659,-0.47639541682257625,0.006072954118270236,K
-2.2166,-4.65151,-0.55,11,-1.199,-1.709,-0.4875677616678095,0.006072954118270236,K
-2.2166,-4.45644,-0.6,11,-1.249,-1.7590000000000001,-0.4987637829904772,0.006072954118270236,K
-2.2166,-4.33621,-0.65,11,-1.299,-1.809,-0.5099814384146278,0.006072954118270236,K
-1.58253,-4.3969,-0.5,11,-1.149,-1.659,-0.447270961933218,0.02614989804802583,K
-1.58253,-4.19443,-0.55,11,-1.199,-1.709,-0.4584615779432866,0.02614989804802583,K
-1.58253,-3.99831,-0.6,11,-1.249,-1.7590000000000001,-0.46967487109962436,0.02614989804802583,K
-1.58253,-3.84805,-0.65,11,-1.299,-1.809,-0.48090890991802865,0.02614989804802583,K
-1.29536,-4.19869,-0.5,11,-1.149,-1.659,-0.4340714507359929,0.05065706222808556,K
-1.29536,-3.9924,-0.55,11,-1.199,-1.709,-0.44526991805441474,0.05065706222808556,K
-1.29536,-3.73145,-0.6,11,-1.249,-1.7590000000000001,-0.4564906404718688,0.05065706222808556,K
-1.29536,-3.57566,-0.65,11,-1.299,-1.809,-0.4677317330374084,0.05065706222808556,K
-0.99562,-3.93776,-0.5,11,-1.149,-1.659,-0.4202740895958323,0.10101363509756159,K
-0.99562,-3.72522,-0.55,11,-1.199,-1.709,-0.431480337427578,0.10101363509756159,K
-0.99562,-3.508,-0.6,11,-1.249,-1.7590000000000001,-0.4427084273188051,0.10101363509756159,K
-0.99562,-3.36623,-0.65,11,-1.299,-1.809,-0.45395651980164,0.10101363509756159,K
-0.97972,-0.47149,-0.5,13,-1.267,-1.777,-0.4460234786100882,0.10478038744508703,K
-0.97972,-0.13775,-0.55,13,-1.317,-1.827,-0.45728124311007295,0.10478038744508703,K
-0.97972,0.18747,-0.6,13,-1.367,-1.877,-0.46855798082183187,0.10478038744508703,K
-0.97972,0.39251,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.4798527997151496,0.10478038744508703,K
-0.90352,-0.71912,-0.5,13,-1.267,-1.777,-0.4425136299226033,0.12487629356078084,K
-0.90352,-0.32533,-0.55,13,-1.317,-1.827,-0.45377304641308613,0.12487629356078084,K
-0.90352,0.0476,-0.6,13,-1.367,-1.877,-0.4650513563061724,0.12487629356078084,K
-0.90352,0.26644,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.4763476734445857,0.12487629356078084,K
-0.82495,-0.76799,-0.5,13,-1.267,-1.777,-0.4388906424695895,0.14964079265067917,K
-0.82495,-0.48135,-0.55,13,-1.317,-1.827,-0.450151719949686,0.14964079265067917,K
-0.82495,-0.13097,-0.6,13,-1.367,-1.877,-0.4614316110665144,0.14964079265067917,K
-0.82495,0.08309,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.4727294355553299,0.14964079265067917,K
-0.69913,-1.15278,-0.5,13,-1.267,-1.777,-0.43307803933366595,0.19992633284429162,K
-0.69913,-0.79458,-0.55,13,-1.317,-1.827,-0.4443416714404651,0.19992633284429162,K
-0.69913,-0.46166,-0.6,13,-1.367,-1.877,-0.4556239956638549,0.19992633284429162,K
-0.69913,-0.19068,-0.65,13,-1.4169999999999998,-1.9269999999999998,-0.4669241407876738,0.19992633284429162,K
