,log c,log j,E vs. RHE
0,-2.2166,-4.86362,-0.5
1,-2.2166,-4.65151,-0.55
2,-2.2166,-4.45644,-0.6
3,-2.2166,-4.33621,-0.65
4,-1.58253,-4.3969,-0.5
5,-1.58253,-4.19443,-0.55
6,-1.58253,-3.99831,-0.6
7,-1.58253,-3.84805,-0.65
8,-1.29536,-4.19869,-0.5
9,-1.29536,-3.9924,-0.55
10,-1.29536,-3.73145,-0.6
11,-1.29536,-3.57566,-0.65
12,-0.99562,-3.93776,-0.5
13,-0.99562,-3.72522,-0.55
14,-0.99562,-3.508,-0.6
15,-0.99562,-3.36623,-0.65
